iteration,train_loss,val_loss,acc,val_acc
0,2.3738577365875244,12.027435861575375,0.09375,0.1
100,2.0082851207256316,1.90764622020114,0.23046875,0.283
200,1.798182611465454,1.8996315716178553,0.315,0.3363
300,1.6628418707847594,2.1935071580728907,0.378125,0.3117
400,1.5627588248252868,1.6688285177680338,0.41828125,0.3949
500,1.4728325843811034,1.8554289318194055,0.46015625,0.4129
600,1.3727297461032868,1.763405311639142,0.50609375,0.3782
700,1.31594145655632,1.5558793430875062,0.51625,0.4805
800,1.2627033650875092,1.3012363234902644,0.5410894206549118,0.5323
900,1.2002842926979065,1.2489557793945263,0.56265625,0.5605
1000,1.1509370005130768,1.3756841591968658,0.57890625,0.5355
1100,1.1367158395051957,1.1634525903470956,0.5909375,0.5987
1200,1.0999971342086792,1.390762071320965,0.60953125,0.5496
1300,1.0336788725852966,1.38809314199314,0.623125,0.548
1400,1.0119043105840684,1.4006683446799115,0.634375,0.5488
1500,0.9994536739587784,1.609175869613696,0.6346875,0.5149
1600,0.9816047269105911,1.0323642803605195,0.6479848866498741,0.6363
1700,0.9282105541229249,0.9896440840071175,0.6684375,0.6535
1800,0.9507306665182114,1.0467313619176293,0.66359375,0.6245
1900,0.9400219386816024,1.0453202041091434,0.6596875,0.6443
2000,0.910872820019722,1.0455800021529957,0.683125,0.6399
2100,0.9136761820316315,1.1725404220781508,0.67078125,0.6101
2200,0.8853286164999008,1.3511817861514486,0.68546875,0.5673
2300,0.8470920723676681,1.2030443628882146,0.70703125,0.6342
2400,0.8441541320085526,0.894672131842109,0.6996221662468514,0.6823
2500,0.8271350020170212,1.0682432970423608,0.70875,0.6575
2600,0.8042814922332764,1.1978478055850716,0.71734375,0.6225
2700,0.8092847073078155,1.52184594816463,0.71515625,0.5697
2800,0.810595161318779,1.2130804149208554,0.71265625,0.6203
2900,0.7876571488380432,0.8603980222325416,0.72359375,0.7037
3000,0.7411424839496612,0.9786976044345054,0.74015625,0.6699
3100,0.7677752909064293,0.7655751156579157,0.73203125,0.733
3200,0.7348365816473961,0.9859137102297157,0.7432304785894207,0.6735
3300,0.7263851162791252,1.0369348795550644,0.7403125,0.6779
3400,0.7118563851714135,0.9035007353800877,0.7565625,0.6978
3500,0.7393950816988945,0.8943238774682306,0.7434375,0.6977
3600,0.7061820316314698,0.9830522848542329,0.7571875,0.6824
3700,0.7083160597085952,0.7650156816479506,0.7546875,0.736
3800,0.676420496404171,0.7378063131669524,0.76390625,0.7427
3900,0.668049866259098,0.9956843556871839,0.76984375,0.6875
4000,0.6751399177312851,1.009229018809689,0.7666876574307305,0.6664
4100,0.6619827648997307,1.0010618165040472,0.770625,0.7014
4200,0.6740796646475792,0.9663855437260525,0.76921875,0.7058
4300,0.6719642180204392,0.8889517649343819,0.770625,0.7041
4400,0.6373293972015381,0.839708193851884,0.781875,0.7204
4500,0.6394379180669785,0.8182300234296519,0.77953125,0.7149
4600,0.6469778063893318,0.7843696207377562,0.775625,0.7341
4700,0.6426754888892173,0.7969255658092013,0.7802267002518891,0.7314
4800,0.6342491173744201,0.9105059301397603,0.7796875,0.6941
4900,0.6294838982820511,1.1187370062633684,0.78703125,0.6333
5000,0.6498432961106301,0.7691397697302946,0.774375,0.7446
5100,0.608198929131031,0.7312105286652875,0.790625,0.7525
5200,0.6164922797679901,0.7849298501090639,0.7890625,0.7398
5300,0.6069314500689507,0.8474086851451048,0.79609375,0.7354
5400,0.6099401262402534,0.6134174154822234,0.78671875,0.784
5500,0.5832195913791657,0.7936105122611781,0.801007556675063,0.7337
5600,0.5741752862930298,0.8177639857219283,0.80796875,0.7298
5700,0.59707420617342,0.7589414711970432,0.78921875,0.7479
5800,0.5872354274988174,0.8799781351332452,0.79875,0.7149
5900,0.5811209493875503,0.7500311269122324,0.80109375,0.7501
